Nombre;Puntuación;Precio;Estrellas;Llaves;Direccion
M. Hotel;8.8;70 €;4 estrellas;0 llaves;Sant Antoni de Portmany
Duquesa Playa;8.7;79 €;4 estrellas;0 llaves;Santa Eulària des Riu
Jacaranda Apartments;8.2;57 €;3 estrellas;0 llaves;Es Canar
Hotel Florencio;8.2;43 €;2 estrellas;0 llaves;Sant Antoni de Portmany
San Francisco Apartments;8.1;87 €;0 estrellas;3 llaves;Sant Antoni de Portmany
Hotel Moon Dreams Paraiso;6;70 €;3 estrellas;0 llaves;Es Canar
THB Los Molinos;9;91 €;4 estrellas;0 llaves;Ibiza Ciudad
Eurostars Ibiza;8.9;108 €;4 estrellas;0 llaves;Ibiza Ciudad
Royal Plaza;8.3;79 €;4 estrellas;0 llaves;Ibiza Ciudad
Hotel Marino;8.8;73 €;2 estrellas;0 llaves;Sant Antoni de Portmany
Hostal Santa Eulalia;7.8;60 €;2 estrellas;0 llaves;Santa Eulària des Riu
Vibra Marítimo;7.2;89 €;3 estrellas;0 llaves;Ibiza Ciudad
Hotel Moon Dreams Paraiso - Adults Recommended;8.4;85 €;3 estrellas;0 llaves;Es Canar
Apartamentos Osiris;8.6;103 €;0 estrellas;3 llaves;Playa d'en Bossa
The Standard Ibiza;8.8;175 €;5 estrellas;0 llaves;Ibiza Ciudad
Montesol Experimental;8.7;174 €;5 estrellas;0 llaves;Ibiza Ciudad
Core Ibiza Town Hotel;9;132 €;4 estrellas;0 llaves;Ibiza Ciudad
Hotel Puchet Ibiza;7.8;85 €;3 estrellas;0 llaves;Sant Antoni de Portmany
Apartamentos Albertos;7.1;200 €;0 estrellas;0 llaves;Santa Eulària des Riu
Cisne by Nests Hostels;6.2;19 €;0 estrellas;0 llaves;Sant Antoni de Portmany
Grand Hotel Palladium;9;983 €;5 estrellas;0 llaves;Santa Eulària des Riu
El Hotel Pacha;8.9;165 €;4 estrellas;0 llaves;Ibiza Ciudad
Ocean Drive Ibiza;8;156 €;4 estrellas;0 llaves;Ibiza Ciudad
Vistabella;9.3;140 €;4 estrellas;0 llaves;Sant Antoni de Portmany
La Bartola Guesthouse;8.4;40 €;0 estrellas;0 llaves;Ibiza Ciudad
PAIISE Hotels;8.2;97 €;3 estrellas;0 llaves;Sant Francesc de s'Estany
Hostal Parque;8.9;79 €;0 estrellas;0 llaves;Ibiza Ciudad
Hostal Juanita;8.3;62 €;0 estrellas;0 llaves;Ibiza Ciudad
Dalt Vila House;8.7;707 €;0 estrellas;0 llaves;Ibiza Ciudad
La Torre Ibiza;9.2;43 €;0 estrellas;0 llaves;Sant Antoni de Portmany
Hostal Ibiza;7.3;59 €;0 estrellas;0 llaves;Ibiza Ciudad
Pension Las Tres Golondrinas;9.3;50 €;1 estrellas;0 llaves;Es Figueral
Hostal Ibiza;5.8;63 €;0 estrellas;0 llaves;Ibiza Ciudad
La Finca Agroturismo Can Bet;9.2;801 €;0 estrellas;0 llaves;Santa Eulària des Riu
Agroturismo Sa Marina;8.9;176 €;0 estrellas;0 llaves;San Carlos
Casita In Jesùs;9.1;224 €;0 estrellas;0 llaves;Ibiza Ciudad
